"Time","P95"
2021-06-29 17:22:00,16
2021-06-29 17:22:05,15
2021-06-29 17:22:10,16
2021-06-29 17:22:15,17
2021-06-29 17:22:20,31
2021-06-29 17:22:25,64
2021-06-29 17:22:30,16
2021-06-29 17:22:35,16
2021-06-29 17:22:40,15
2021-06-29 17:22:45,18
2021-06-29 17:22:50,16
2021-06-29 17:22:55,15
2021-06-29 17:23:00,14
2021-06-29 17:23:05,15
2021-06-29 17:23:10,15
2021-06-29 17:23:15,18
2021-06-29 17:23:20,17
2021-06-29 17:23:25,21
2021-06-29 17:23:30,20
2021-06-29 17:23:35,14
2021-06-29 17:23:40,16
2021-06-29 17:23:45,17
2021-06-29 17:23:50,16
2021-06-29 17:23:55,15
2021-06-29 17:24:00,16
2021-06-29 17:24:05,16
2021-06-29 17:24:10,14
2021-06-29 17:24:15,14
2021-06-29 17:24:20,14
2021-06-29 17:24:25,17
2021-06-29 17:24:30,18
2021-06-29 17:24:35,16
2021-06-29 17:24:40,13
2021-06-29 17:24:45,14
2021-06-29 17:24:50,16
2021-06-29 17:24:55,16
2021-06-29 17:25:00,13
2021-06-29 17:25:05,14
2021-06-29 17:25:10,14
2021-06-29 17:25:15,15
2021-06-29 17:25:20,13
2021-06-29 17:25:25,17
2021-06-29 17:25:30,16
2021-06-29 17:25:35,13
2021-06-29 17:25:40,14
2021-06-29 17:25:45,15
2021-06-29 17:25:50,18
2021-06-29 17:25:55,16
2021-06-29 17:26:00,16
2021-06-29 17:26:05,14
2021-06-29 17:26:10,13
2021-06-29 17:26:15,15
2021-06-29 17:26:20,15
2021-06-29 17:26:25,14
2021-06-29 17:26:30,15
2021-06-29 17:26:35,14
2021-06-29 17:26:40,14
2021-06-29 17:26:45,15
2021-06-29 17:26:50,16
2021-06-29 17:26:55,19
2021-06-29 17:27:00,36
2021-06-29 17:27:05,16
2021-06-29 17:27:10,17
2021-06-29 17:27:15,5000
2021-06-29 17:27:20,5000
2021-06-29 17:27:25,99
2021-06-29 17:27:30,15
2021-06-29 17:27:35,16
2021-06-29 17:27:40,14
2021-06-29 17:27:45,16
2021-06-29 17:27:50,15
2021-06-29 17:27:55,15
2021-06-29 17:28:00,15
2021-06-29 17:28:05,13
2021-06-29 17:28:10,13
2021-06-29 17:28:15,15
2021-06-29 17:28:20,15
2021-06-29 17:28:25,16
2021-06-29 17:28:30,13
2021-06-29 17:28:35,11
2021-06-29 17:28:40,11
2021-06-29 17:28:45,12
2021-06-29 17:28:50,14
2021-06-29 17:28:55,22
2021-06-29 17:29:00,21
2021-06-29 17:29:05,15
2021-06-29 17:29:10,14
2021-06-29 17:29:15,15
2021-06-29 17:29:20,13
2021-06-29 17:29:25,16
2021-06-29 17:29:30,18
2021-06-29 17:29:35,17
2021-06-29 17:29:40,16
2021-06-29 17:29:45,20
2021-06-29 17:29:50,16
2021-06-29 17:29:55,17
2021-06-29 17:30:00,17
2021-06-29 17:30:05,14
2021-06-29 17:30:10,14
2021-06-29 17:30:15,15
2021-06-29 17:30:20,100
2021-06-29 17:30:25,110
2021-06-29 17:30:30,110
2021-06-29 17:30:35,110
2021-06-29 17:30:40,110
2021-06-29 17:30:45,110
2021-06-29 17:30:50,110
2021-06-29 17:30:55,110
2021-06-29 17:31:00,110
2021-06-29 17:31:05,110
2021-06-29 17:31:10,110
2021-06-29 17:31:15,100
2021-06-29 17:31:20,100
2021-06-29 17:31:25,100
2021-06-29 17:31:30,100
2021-06-29 17:31:35,100
2021-06-29 17:31:40,100
2021-06-29 17:31:45,100
2021-06-29 17:31:50,100
2021-06-29 17:31:55,94
2021-06-29 17:32:00,99
2021-06-29 17:32:05,94
2021-06-29 17:32:10,89
2021-06-29 17:32:15,92
2021-06-29 17:32:20,79
2021-06-29 17:32:25,34
2021-06-29 17:32:30,51
2021-06-29 17:32:35,40
2021-06-29 17:32:40,15
2021-06-29 17:32:45,18
2021-06-29 17:32:50,19
2021-06-29 17:32:55,19
2021-06-29 17:33:00,19
2021-06-29 17:33:05,17
2021-06-29 17:33:10,17
